testDate,expression,movement,quality,benchmarkPct,pid
28/02/2024,isometric,sprint,acceleration,0.52,1
29/02/2024,dynamic,sprint,acceleration,0.4445,1
03/03/2024,dynamic,agility,deceleration,0.89,1
04/03/2024,isometric,upper body,pull,,1
14/03/2024,dynamic,jump,take off,0.6525,1
19/03/2024,dynamic,jump,land,0.668,1
30/03/2024,isometric,jump,pre-load,0.52,1
31/03/2024,dynamic,jump,land,0.6625,1
07/04/2024,isometric,upper body,pull,,1
12/04/2024,isometric,upper body,push,0.704,1
17/04/2024,isometric,upper body,grapple,,1
26/04/2024,isometric,upper body,pull,,1
30/04/2024,dynamic,sprint,max velocity,0.628,1
05/05/2024,isometric,agility,acceleration,0.52,1
05/05/2024,dynamic,sprint,max velocity,0.628,1
11/05/2024,isometric,jump,land,,1
18/05/2024,dynamic,upper body,push,0.43,1
08/06/2024,dynamic,sprint,max velocity,0.625,1
23/06/2024,isometric,agility,deceleration,1.1365,1
30/06/2024,dynamic,jump,pre-load,0.4655,1
12/07/2024,isometric,upper body,grapple,,1
21/07/2024,dynamic,upper body,push,0.488,1
03/08/2024,isometric,sprint,max velocity,0.756,1
06/08/2024,isometric,upper body,push,0.96,1
12/08/2024,dynamic,jump,land,0.652,1
14/08/2024,dynamic,upper body,push,0.428,1
29/08/2024,isometric,jump,pre-load,0.731,1
31/08/2024,isometric,upper body,pull,,1
02/09/2024,dynamic,jump,land,0.641,1
05/09/2024,isometric,jump,pre-load,0.7275,1
22/09/2024,dynamic,sprint,acceleration,0.494,1
24/09/2024,dynamic,upper body,push,0.494,1
25/09/2024,dynamic,upper body,pull,0.896,1
03/10/2024,isometric,upper body,pull,,1
08/10/2024,dynamic,jump,land,0.65,1
22/10/2024,dynamic,jump,take off,0.7165,1
04/11/2024,dynamic,agility,deceleration,0.88,1
10/11/2024,dynamic,jump,land,0.666,1
19/11/2024,dynamic,jump,land,0.666,1
29/11/2024,isometric,agility,acceleration,0.79,1
02/12/2024,isometric,jump,pre-load,0.796,1
03/12/2024,dynamic,jump,land,0.728,1
04/12/2024,isometric,sprint,max velocity,0.685,1
12/12/2024,dynamic,jump,land,0.728,1
13/12/2024,isometric,jump,land,0.4,1
13/12/2024,dynamic,jump,pre-load,0.557,1
20/12/2024,isometric,agility,rotate,0.68,1
22/12/2024,dynamic,sprint,max velocity,0.6645,1
28/12/2024,dynamic,agility,deceleration,0.876,1
02/01/2025,isometric,agility,deceleration,0.9155,1
19/01/2025,dynamic,jump,take off,0.67,1
20/01/2025,dynamic,jump,take off,0.67,1
20/01/2025,dynamic,upper body,push,0.5,1
21/01/2025,isometric,agility,rotate,0.6675,1
25/01/2025,dynamic,agility,deceleration,0.853,1
31/01/2025,dynamic,upper body,push,0.4965,1
04/02/2025,dynamic,agility,deceleration,0.873,1
13/02/2025,isometric,upper body,pull,0.805,1
13/02/2025,isometric,agility,rotate,0.6415,1
23/02/2025,isometric,upper body,grapple,0.6385,1
02/03/2025,dynamic,agility,deceleration,0.87,1
06/03/2025,dynamic,agility,deceleration,0.88,1
02/07/2023,isometric,sprint,acceleration,,1
26/07/2023,isometric,sprint,acceleration,,1
04/08/2023,dynamic,jump,take off,0.7365,1
13/08/2023,dynamic,jump,pre-load,0.6175,1
19/08/2023,isometric,upper body,pull,,1
20/08/2023,isometric,upper body,push,,1
24/08/2023,isometric,upper body,pull,,1
29/08/2023,isometric,sprint,max velocity,,1
30/08/2023,isometric,jump,pre-load,0.52,1
01/09/2023,dynamic,upper body,push,0.3945,1
01/09/2023,isometric,agility,rotate,,1
03/09/2023,dynamic,sprint,acceleration,0.3945,1
11/09/2023,isometric,upper body,push,,1
29/09/2023,dynamic,jump,land,0.69,1
04/10/2023,isometric,upper body,pull,,1
05/10/2023,isometric,upper body,grapple,,1
13/10/2023,isometric,jump,take off,,1
26/10/2023,dynamic,jump,land,0.6615,1
09/11/2023,isometric,jump,land,,1
09/11/2023,dynamic,sprint,acceleration,0.431,1
16/11/2023,dynamic,agility,acceleration,0.43,1
10/12/2023,dynamic,sprint,acceleration,0.43,1
19/12/2023,dynamic,sprint,acceleration,0.43,1
20/12/2023,dynamic,jump,land,0.674,1
23/12/2023,isometric,agility,deceleration,1.112,1
29/12/2023,isometric,agility,rotate,,1
02/01/2024,isometric,jump,land,,1
03/01/2024,isometric,agility,rotate,,1
16/01/2024,isometric,jump,take off,,1
22/01/2024,isometric,agility,rotate,,1
25/01/2024,dynamic,upper body,push,0.4345,1
05/02/2024,isometric,upper body,grapple,,1
06/02/2024,isometric,jump,land,,1
06/02/2024,dynamic,sprint,acceleration,0.4445,1
08/02/2024,dynamic,upper body,pull,0.89,1
15/02/2024,isometric,sprint,max velocity,,1
16/02/2024,isometric,sprint,max velocity,,1
24/02/2024,isometric,jump,pre-load,0.52,1
29/02/2024,dynamic,upper body,push,0.4445,1
01/03/2024,isometric,agility,rotate,,1
06/03/2024,isometric,upper body,grapple,,1
12/03/2024,isometric,agility,deceleration,1.138,1
13/03/2024,isometric,jump,pre-load,0.52,1
20/03/2024,dynamic,sprint,max velocity,0.637,1
28/03/2024,isometric,jump,take off,,1
07/04/2024,dynamic,jump,pre-load,0.521,1
11/04/2024,isometric,jump,take off,,1
13/04/2024,dynamic,agility,acceleration,0.43,1
19/04/2024,isometric,sprint,max velocity,-0.2,1
20/04/2024,dynamic,jump,take off,0.64,1
06/05/2024,dynamic,agility,acceleration,0.43,1
08/05/2024,isometric,agility,rotate,,1
10/05/2024,dynamic,agility,acceleration,0.43,1
13/05/2024,isometric,agility,deceleration,1.1365,1
18/05/2024,dynamic,sprint,max velocity,0.625,1
03/06/2024,isometric,upper body,grapple,,1
11/06/2024,isometric,agility,acceleration,0.49,1
19/06/2024,isometric,upper body,pull,,1
23/06/2024,isometric,upper body,push,0.704,1
30/06/2024,dynamic,jump,take off,0.639,1
03/07/2024,isometric,upper body,pull,,1
03/07/2024,isometric,agility,rotate,,1
10/07/2024,dynamic,sprint,acceleration,0.491,1
13/07/2024,isometric,jump,land,0.4125,1
13/07/2024,dynamic,jump,pre-load,0.5175,1
19/07/2024,isometric,upper body,grapple,0.278,1
20/07/2024,isometric,jump,take off,0.3975,1
09/08/2024,isometric,jump,take off,0.363,1
23/08/2024,dynamic,agility,deceleration,0.855,1
26/08/2024,dynamic,upper body,push,0.428,1
01/09/2024,isometric,upper body,pull,,1
07/09/2024,dynamic,jump,take off,0.72,1
08/09/2024,isometric,jump,land,0.33,1
12/09/2024,dynamic,jump,pre-load,0.505,1
13/09/2024,isometric,jump,take off,0.368,1
13/09/2024,isometric,upper body,grapple,0.6315,1
14/09/2024,isometric,agility,rotate,0.6315,1
22/09/2024,isometric,agility,deceleration,0.869,1
23/09/2024,isometric,agility,deceleration,0.869,1
27/09/2024,isometric,upper body,push,0.936,1
16/10/2024,dynamic,upper body,push,0.498,1
17/10/2024,isometric,upper body,push,0.936,1
20/10/2024,dynamic,upper body,pull,0.88,1
23/10/2024,dynamic,agility,acceleration,0.486,1
28/10/2024,dynamic,jump,pre-load,0.57,1
18/11/2024,dynamic,sprint,acceleration,0.47,1
20/11/2024,isometric,sprint,acceleration,0.799,1
22/11/2024,isometric,upper body,grapple,0.6795,1
28/12/2024,isometric,sprint,acceleration,0.79,1
30/12/2024,isometric,upper body,grapple,0.6705,1
04/01/2025,dynamic,jump,pre-load,0.497,1
11/01/2025,isometric,upper body,push,0.918,1
15/01/2025,isometric,jump,land,0.46,1
17/01/2025,dynamic,agility,deceleration,0.853,1
20/01/2025,dynamic,jump,pre-load,0.474,1
31/01/2025,dynamic,jump,take off,0.6825,1
03/02/2025,isometric,upper body,push,0.96,1
18/02/2025,isometric,agility,deceleration,0.96,1
11/03/2025,dynamic,agility,acceleration,0.495,1
04/07/2023,dynamic,jump,pre-load,0.554,1
05/07/2023,dynamic,upper body,pull,0.87,1
21/07/2023,isometric,agility,rotate,,1
05/08/2023,isometric,jump,pre-load,,1
05/08/2023,isometric,agility,rotate,,1
07/08/2023,dynamic,agility,acceleration,0.39,1
22/08/2023,isometric,upper body,grapple,,1
23/08/2023,isometric,agility,acceleration,,1
31/08/2023,isometric,upper body,grapple,,1
12/10/2023,isometric,agility,deceleration,1.038,1
18/10/2023,dynamic,jump,land,0.6615,1
24/10/2023,dynamic,jump,land,0.6615,1
27/10/2023,isometric,upper body,pull,,1
28/10/2023,isometric,jump,pre-load,0.52,1
07/11/2023,dynamic,jump,take off,0.651,1
20/11/2023,isometric,sprint,acceleration,0.52,1
22/11/2023,dynamic,jump,land,0.69,1
23/11/2023,isometric,upper body,grapple,,1
23/11/2023,isometric,agility,rotate,,1
24/11/2023,isometric,agility,deceleration,1.038,1
28/12/2023,isometric,sprint,acceleration,0.52,1
04/01/2024,isometric,jump,land,,1
08/01/2024,dynamic,agility,acceleration,0.426,1
13/01/2024,isometric,jump,land,,1
25/01/2024,isometric,agility,deceleration,1.138,1
01/02/2024,isometric,upper body,pull,,1
03/02/2024,dynamic,agility,acceleration,0.4445,1
22/02/2024,dynamic,sprint,max velocity,0.637,1
24/02/2024,isometric,jump,take off,,1
07/03/2024,dynamic,jump,pre-load,0.5,1
10/03/2024,isometric,upper body,grapple,,1
12/03/2024,isometric,sprint,max velocity,,1
16/03/2024,isometric,jump,take off,,1
23/03/2024,dynamic,jump,pre-load,0.524,1
31/03/2024,isometric,sprint,max velocity,,1
02/04/2024,dynamic,jump,pre-load,0.521,1
03/04/2024,isometric,upper body,grapple,,1
10/04/2024,dynamic,jump,take off,0.64,1
19/04/2024,isometric,upper body,push,0.704,1
21/04/2024,isometric,agility,deceleration,1.1365,1
28/04/2024,isometric,jump,take off,,1
29/04/2024,dynamic,agility,acceleration,0.43,1
06/05/2024,isometric,jump,pre-load,0.52,1
07/05/2024,isometric,jump,take off,,1
13/05/2024,isometric,agility,acceleration,0.52,1
16/05/2024,isometric,upper body,grapple,,1
17/05/2024,isometric,agility,deceleration,1.1365,1
18/05/2024,isometric,upper body,grapple,,1
29/05/2024,dynamic,upper body,push,0.43,1
04/06/2024,isometric,agility,rotate,,1
05/06/2024,isometric,upper body,grapple,,1
06/06/2024,isometric,agility,acceleration,0.49,1
08/06/2024,isometric,jump,land,,1
16/06/2024,dynamic,agility,acceleration,0.43,1
22/06/2024,isometric,jump,land,,1
08/07/2024,dynamic,upper body,pull,0.897,1
13/07/2024,dynamic,jump,take off,0.695,1
22/07/2024,isometric,jump,take off,0.3975,1
29/07/2024,isometric,jump,pre-load,0.685,1
31/07/2024,isometric,upper body,pull,,1
02/08/2024,isometric,agility,deceleration,1.032,1
09/08/2024,dynamic,upper body,push,0.428,1
15/08/2024,isometric,agility,acceleration,0.7305,1
16/08/2024,dynamic,jump,pre-load,0.5095,1
22/08/2024,dynamic,upper body,pull,0.855,1
26/08/2024,isometric,agility,rotate,0.5075,1
27/08/2024,isometric,upper body,grapple,0.6015,1
01/09/2024,isometric,jump,land,0.363,1
05/09/2024,dynamic,jump,take off,0.72,1
18/09/2024,isometric,upper body,grapple,0.6315,1
25/09/2024,isometric,upper body,pull,,1
27/09/2024,isometric,upper body,pull,,1
02/10/2024,isometric,upper body,push,0.936,1
13/10/2024,isometric,upper body,pull,,1
15/10/2024,dynamic,jump,take off,0.7165,1
16/10/2024,dynamic,sprint,acceleration,0.498,1
23/10/2024,dynamic,jump,pre-load,0.5375,1
28/10/2024,dynamic,jump,take off,0.69,1
03/11/2024,dynamic,jump,land,0.666,1
11/11/2024,dynamic,jump,land,0.666,1
12/11/2024,dynamic,sprint,max velocity,0.665,1
17/11/2024,dynamic,upper body,pull,0.88,1
23/11/2024,isometric,agility,acceleration,0.799,1
24/11/2024,isometric,jump,land,0.444,1
27/11/2024,dynamic,upper body,push,0.47,1
15/12/2024,isometric,agility,acceleration,0.796,1
07/01/2025,isometric,jump,land,0.42,1
09/01/2025,isometric,agility,deceleration,0.92,1
12/01/2025,isometric,jump,take off,0.46,1
12/01/2025,dynamic,upper body,pull,0.853,1
03/02/2025,isometric,sprint,acceleration,0.79,1
04/02/2025,isometric,agility,deceleration,0.96,1
17/02/2025,isometric,upper body,push,0.9555,1
20/02/2025,dynamic,agility,deceleration,0.87,1
25/02/2025,dynamic,jump,land,0.745,1
03/03/2025,isometric,upper body,pull,0.854,1
09/03/2025,isometric,agility,rotate,0.627,1
11/03/2025,dynamic,jump,pre-load,0.5225,1
05/07/2023,isometric,upper body,push,,1
15/07/2023,isometric,upper body,grapple,,1
17/07/2023,dynamic,jump,land,0.6975,1
01/08/2023,dynamic,sprint,max velocity,0.67,1
04/08/2023,isometric,agility,deceleration,0.818,1
20/08/2023,dynamic,jump,land,0.69,1
24/08/2023,isometric,agility,acceleration,,1
02/09/2023,dynamic,upper body,push,0.3945,1
04/09/2023,dynamic,agility,deceleration,0.877,1
17/09/2023,dynamic,jump,pre-load,0.51,1
08/11/2023,isometric,jump,pre-load,0.52,1
08/11/2023,isometric,upper body,push,0.67,1
13/11/2023,isometric,sprint,acceleration,0.52,1
17/11/2023,isometric,sprint,acceleration,0.52,1
18/11/2023,isometric,jump,take off,,1
26/11/2023,dynamic,jump,take off,0.631,1
28/11/2023,isometric,agility,rotate,,1
29/11/2023,dynamic,agility,deceleration,0.87,1
06/12/2023,isometric,agility,acceleration,0.52,1
15/12/2023,isometric,agility,rotate,,1
02/01/2024,isometric,agility,rotate,,1
07/01/2024,dynamic,agility,acceleration,0.426,1
08/01/2024,isometric,sprint,acceleration,0.52,1
13/01/2024,dynamic,sprint,max velocity,0.598,1
14/01/2024,isometric,jump,take off,,1
21/01/2024,isometric,upper body,pull,,1
22/01/2024,dynamic,jump,land,0.668,1
22/01/2024,isometric,upper body,push,0.6385,1
29/01/2024,isometric,agility,acceleration,0.52,1
02/02/2024,isometric,upper body,pull,,1
02/03/2024,dynamic,jump,take off,0.6625,1
02/03/2024,dynamic,upper body,push,0.4445,1
08/03/2024,isometric,jump,pre-load,0.52,1
23/03/2024,isometric,jump,pre-load,0.52,1
01/04/2024,isometric,upper body,grapple,,1
11/04/2024,isometric,jump,land,,1
13/04/2024,dynamic,sprint,acceleration,0.43,1
28/04/2024,isometric,jump,pre-load,0.52,1
27/05/2024,dynamic,sprint,acceleration,0.43,1
29/05/2024,isometric,agility,deceleration,1.1365,1
31/05/2024,dynamic,jump,land,0.664,1
31/05/2024,isometric,agility,acceleration,0.49,1
18/06/2024,isometric,agility,acceleration,0.49,1
03/07/2024,isometric,upper body,grapple,,1
18/07/2024,dynamic,sprint,max velocity,0.6725,1
22/07/2024,dynamic,jump,pre-load,0.466,1
31/07/2024,isometric,sprint,acceleration,0.7305,1
02/08/2024,dynamic,upper body,push,0.428,1
03/08/2024,isometric,upper body,grapple,0.384,1
05/08/2024,dynamic,jump,take off,0.749,1
12/08/2024,dynamic,jump,pre-load,0.5095,1
13/08/2024,dynamic,sprint,acceleration,0.428,1
17/08/2024,isometric,jump,land,0.363,1
01/09/2024,dynamic,sprint,acceleration,0.428,1
04/09/2024,isometric,agility,rotate,0.6405,1
07/09/2024,isometric,agility,rotate,0.6315,1
08/09/2024,dynamic,jump,land,0.6495,1
12/09/2024,dynamic,sprint,max velocity,0.688,1
19/09/2024,dynamic,jump,take off,0.7055,1
24/09/2024,isometric,jump,take off,0.426,1
28/09/2024,isometric,sprint,acceleration,0.72,1
05/10/2024,isometric,upper body,push,0.936,1
07/10/2024,isometric,agility,acceleration,0.6925,1
12/10/2024,isometric,agility,rotate,0.6595,1
25/10/2024,dynamic,upper body,push,0.486,1
03/11/2024,dynamic,upper body,push,0.486,1
08/11/2024,isometric,agility,acceleration,0.7145,1
08/11/2024,dynamic,sprint,acceleration,0.47,1
11/11/2024,dynamic,agility,acceleration,0.47,1
13/11/2024,isometric,agility,deceleration,0.866,1
17/11/2024,isometric,upper body,push,0.936,1
21/11/2024,isometric,upper body,push,0.936,1
30/11/2024,isometric,sprint,max velocity,0.73,1
04/12/2024,dynamic,sprint,acceleration,0.498,1
09/12/2024,dynamic,jump,land,0.728,1
18/12/2024,dynamic,upper body,pull,0.876,1
26/12/2024,isometric,upper body,pull,0.46,1
27/12/2024,dynamic,jump,take off,0.69,1
08/01/2025,isometric,agility,deceleration,0.92,1
10/01/2025,dynamic,jump,land,0.7365,1
13/01/2025,dynamic,upper body,push,0.5,1
17/01/2025,dynamic,upper body,pull,0.853,1
28/01/2025,isometric,jump,pre-load,0.79,1
30/01/2025,dynamic,upper body,pull,0.873,1
31/01/2025,dynamic,agility,acceleration,0.4965,1
08/02/2025,isometric,jump,land,0.39,1
13/02/2025,dynamic,jump,take off,0.68,1
14/02/2025,isometric,agility,deceleration,0.958,1
16/02/2025,isometric,sprint,max velocity,0.728,1
25/02/2025,isometric,upper body,pull,0.7975,1
04/03/2025,isometric,jump,take off,0.3955,1
14/07/2023,dynamic,sprint,acceleration,0.336,1
20/07/2023,isometric,jump,pre-load,,1
22/07/2023,dynamic,jump,take off,0.7365,1
24/07/2023,isometric,upper body,pull,,1
25/07/2023,dynamic,jump,land,0.69,1
28/07/2023,dynamic,upper body,push,0.345,1
28/07/2023,dynamic,agility,deceleration,0.8525,1
07/08/2023,isometric,upper body,pull,,1
11/08/2023,isometric,sprint,max velocity,,1
22/08/2023,isometric,sprint,acceleration,,1
06/09/2023,isometric,sprint,acceleration,0.52,1
11/09/2023,isometric,jump,pre-load,0.52,1
19/09/2023,isometric,jump,take off,,1
28/09/2023,dynamic,jump,pre-load,0.49,1
14/10/2023,isometric,jump,pre-load,0.52,1
23/10/2023,isometric,jump,pre-load,0.52,1
30/10/2023,dynamic,jump,land,0.6615,1
05/11/2023,isometric,sprint,max velocity,,1
09/11/2023,dynamic,jump,pre-load,0.497,1
17/11/2023,dynamic,upper body,pull,0.871,1
19/11/2023,dynamic,sprint,acceleration,0.43,1
21/11/2023,dynamic,agility,deceleration,0.871,1
29/11/2023,dynamic,sprint,acceleration,0.43,1
05/12/2023,dynamic,jump,land,0.688,1
09/12/2023,dynamic,jump,pre-load,0.4955,1
13/12/2023,isometric,agility,deceleration,1.04,1
16/12/2023,isometric,upper body,push,0.664,1
01/01/2024,isometric,jump,take off,,1
03/01/2024,dynamic,agility,acceleration,0.426,1
15/01/2024,isometric,upper body,pull,,1
17/01/2024,isometric,upper body,grapple,,1
27/01/2024,isometric,jump,pre-load,0.52,1
03/02/2024,dynamic,sprint,max velocity,0.646,1
04/02/2024,isometric,agility,deceleration,1.138,1
12/02/2024,dynamic,agility,deceleration,0.89,1
23/02/2024,isometric,agility,deceleration,1.148,1
21/03/2024,dynamic,agility,acceleration,0.4445,1
23/03/2024,isometric,upper body,pull,,1
29/03/2024,isometric,jump,land,,1
30/03/2024,isometric,agility,rotate,,1
10/04/2024,dynamic,sprint,acceleration,0.44,1
11/04/2024,dynamic,upper body,pull,0.89,1
30/04/2024,isometric,upper body,push,0.704,1
03/05/2024,isometric,upper body,push,0.704,1
13/05/2024,dynamic,upper body,push,0.43,1
13/05/2024,isometric,upper body,push,0.704,1
14/05/2024,dynamic,sprint,max velocity,0.625,1
17/06/2024,dynamic,agility,deceleration,0.89,1
22/06/2024,dynamic,upper body,push,0.436,1
26/06/2024,isometric,jump,land,,1
27/06/2024,dynamic,jump,pre-load,0.4655,1
27/06/2024,dynamic,upper body,pull,0.89,1
28/06/2024,isometric,upper body,push,0.704,1
01/07/2024,isometric,upper body,grapple,,1
23/07/2024,dynamic,upper body,pull,0.855,1
26/07/2024,isometric,agility,acceleration,0.685,1
29/07/2024,isometric,upper body,grapple,0.286,1
18/08/2024,isometric,jump,pre-load,0.7305,1
21/08/2024,isometric,upper body,pull,,1
27/08/2024,dynamic,sprint,acceleration,0.428,1
31/08/2024,dynamic,agility,deceleration,0.9,1
15/09/2024,dynamic,jump,land,0.6495,1
17/09/2024,dynamic,upper body,push,0.494,1
18/09/2024,dynamic,jump,take off,0.7155,1
19/09/2024,isometric,jump,land,0.426,1
25/09/2024,dynamic,sprint,max velocity,0.694,1
30/09/2024,dynamic,sprint,max velocity,0.702,1
10/10/2024,dynamic,upper body,push,0.498,1
10/10/2024,dynamic,sprint,max velocity,0.67,1
16/10/2024,isometric,agility,rotate,0.6595,1
26/10/2024,dynamic,jump,land,0.666,1
